term,counts
coronavirus,5131363
trump,254693
pandemic,252663
usa,156049
testing,126577
china,120806
quarantine,113198
news,107701
government,90572
work,90248
school,88103
socialdistancing,84428
positive,77745
health,76260
help,70025
country,69479
spread,62860
italy,52208
president,48106
may,46032
uk,45657
eu,42283
chinese,40675
state,40537
public,40285
country,38697
borisjohnson,35455
hope,34644
safe,33306
confirmed,32973
deaths,32057
week,31883
hospital,31433
death,31335
flu,30938
emergency,30687
march,30437
total,30436
life,28445
pandemia,27743
presidente,27610
america,27483
breaking,26306
travel,25999
sick,25909
global,25894
business,25892
wuhan,25784
closed,25763
panic,25722
americans,25664
india,25010
information,24905
france,24541
españa,24518
masks,24105
symptoms,23724
medical,23715
updates,23181
patients,22956
hands,22827
plan,22807
daily,22652
vaccine,22509
national,22496
staff,22208
biden,22105
thread,21838
infected,21824
countries,21636
risk,21035
city,20970
believe,19566
county,19413
measures,19364
disease,18648
states,18612
american,18589
cancelled,18175
together,18169
doctor,17961
cure,16947
spreading,16761
lives,16351
months,16229
report,16212
venezuela,16197
méxico,15991
iran,15930
untuk,15738
canada,15553
doctors,15282
fear,15111
businesses,14730
indonesia,14514
europe,14502
economy,14462
italian,14142
minister,13977
concerns,13808
healthcare,13667
mayor,13437
wash,13244
brasil,13239
hospitals,13051
fears,12994
month,12936
reported,12849
affected,12820
employees,12811
economic,12794
died,12569
postponed,12525
cancel,12491
madrid,12487
current,12402
experts,12396
patient,12310
korea,12220
restaurants,12214
vote,11884
contact,11786
company,11784
administration,11780
federal,11603
leadership,11578
australia,11438
información,11432
ban,11382
cuba,11336
nation,11335
events,11304
governor,11164
companies,11023
safety,10990
dead,10965
responsible,10949
negative,10853
threat,10798
alguien,10712
april,10705
california,10693
ont,10627
problem,10622
worried,10546
florida,10541
spain,10508
colombia,10498
immune,10374
infection,10193
washington,10178
curve,10032
treatment,10023
internet,9970
emergencia,9911
democrats,9679
europa,9628
essential,9605
sports,9262
spring,9258
vacuna,9215
citizens,9146
leaders,9124
bars,9077
law,9058
chile,9027
healthy,8965
senate,8950
premier,8867
leader,8674
area,8566
outside,8543
inside,8529
elderly,8425
spreads,8386
dangerous,8335
borders,8331
international,8329
