date,tweetAmount
2020-01-01,1
2020-01-04,2
2020-01-06,2
2020-01-08,4
2020-01-09,15
2020-01-10,6
2020-01-11,12
2020-01-12,5
2020-01-13,5
2020-01-17,26
2020-01-18,17
2020-01-19,4
2020-01-20,124
2020-01-21,172
2020-01-22,895
2020-01-23,1295
2020-01-24,1661
2020-01-25,1861
2020-01-26,2008
2020-01-27,2016
2020-01-28,2725
2020-01-29,2671
2020-01-30,3542
2020-01-31,3421
2020-02-01,2096
2020-02-02,2041
2020-02-03,1946
2020-02-04,1863
2020-02-05,1657
2020-02-06,1579
2020-02-07,1693
2020-02-08,1524
2020-02-09,1304
2020-02-10,1563
2020-02-11,1725
2020-02-12,1613
2020-02-13,1730
2020-02-14,1241
2020-02-15,217
2020-02-16,806
2020-02-17,1283
2020-02-18,1364
2020-02-19,1251
2020-02-20,1153
2020-02-21,1559
2020-02-22,1599
2020-02-23,2037
2020-02-24,3289
2020-02-25,4351
2020-02-26,6312
2020-02-27,6797
2020-02-28,7938
2020-02-29,5774
2020-03-01,4425
2020-03-02,6053
2020-03-04,6427
2020-03-03,6274
2020-03-05,7202
2020-03-06,6899
2020-03-07,6169
2020-03-08,5501
2020-03-09,8904
2020-03-10,10821
2020-03-11,14921
2020-03-12,95482
2020-03-13,751804
2020-03-14,742471
2020-03-15,754195
2020-03-16,839332
2020-03-17,816530
2020-03-18,854546
2020-03-19,772241
2020-03-20,768545
2020-03-21,786495
2020-03-22,122908
